create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
from the manage sharing settings for drop-down list, select all objects to view sharing settings for all objects in the organization, or select a single object.	wählen sie in der dropdownliste freigabeeinstellungen verwalten für die option "alle objekte" aus, um die freigabeeinstellungen für alle objekte in der organisation anzuzeigen. alternativ können sie ein einzelnes objekt auswählen.
in setup, enter single sign-on settings in the quick find box, then select single sign-on settings.	geben sie unter "setup" im feld schnellsuche den text single sign on-einstellungen ein und wählen sie dann single sign on-einstellungen aus.
you can give permission to create and edit reports to communities users with the following licenses:	sie können community-benutzern mit folgenden lizenzen die berechtigung zum erstellen und bearbeiten von berichten erteilen:
to create or edit roles:	erstellen bzw. bearbeiten von rollen:
prevents users from entering offensive language when posting a comment.	hindert benutzer daran, in kommentaren beleidigende ausdrücke einzugeben.
in an ideas community, a vote means that you have either promoted or demoted an idea. after you vote on an idea, your nickname displays at the bottom of the idea's detail page to track that your vote was made. you can use your recent activity page to see a list of all the ideas you have voted on.	wenn sie in einer ideen-community über eine idee abstimmen, haben sie sie höher- oder tiefergestuft. wenn sie über eine idee abgestimmt haben, wird unten auf der detailseite der idee ihr nickname angezeigt, um verfolgen zu können, dass sie ihre stimme abgegeben haben. auf ihrer seite “aktuelle aktivitäten” wird eine liste aller ideen angezeigt, über die sie abgestimmt haben.
requeue message—the email service queues the message for processing in the next 24 hours. if the message is not processed within 24 hours, the email service returns the message to the sender with a notification that explains why the message was rejected.	nachricht wieder in warteschlange einreihen – der e-mail-service stellt die nachricht für eine verarbeitung in den nächsten 24 stunden erneut in die warteschlange ein. wenn die nachricht nicht innerhalb von 24 stunden verarbeitet wird, schickt der e-mail-service die nachricht zusammen mit einer begründung für die ablehnung an den absender zurück.
click edit next to a site.	klicken sie neben einer site auf bearbeiten.
vote, idea	wahlstimme, idee
dashboard designer	dashboard-designer
to specify a value for an item element in a call center definition file, place the value between the opening and closing tags of the item. for example:	platzieren sie zum angeben eines werts für ein element vom typ item in einer callcenter-definitionsdatei den wert zwischen den öffnenden und schließenden tags des elements item. beispiel:
enable cumulative forecast rollups in collaborative forecasts	aktivieren von kumulierten prognosen-rollups in "gemeinschaftliche prognosen"
set the breakpoints and colors on your gauge component to help users interpret the current value of the field you are tracking.	legen sie die haltepunkte und farben für ihre messdiagramm-komponente fest, um den benutzern die interpretation des aktuellen werts des von ihnen verfolgten felds zu erleichtern.
allowed tags	zulässige tags
salesforce surveys has a few access levels. each level requires different licenses, permissions, and setup. determine which level of access is right for your company, and learn what’s required to give your users the access they need.	salesforce-umfragen verfügen über mehrere zugriffsebenen. jede ebene erfordert unterschiedliche lizenzen und berechtigungen sowie ein anderes setup. entscheiden sie, welche zugriffsebene für ihr unternehmen geeignet ist, und erfahren sie, wie sie ihren benutzern den nötigen zugriff geben können.
the data available for replication in the amazon redshift account is determined by the amazon s3 bucket you specify.	die im amazon redshift-account für den abgleich verfügbaren daten werden vom von ihnen angegebenen amazon s3-bucket bestimmt.
you have a bundle with a bundle parent, child, and grandchild. all three products are subscriptions. a configuration rule on the bundle includes one child subscription for every unit of the parent subscription, while the grandchild is optional. you add this bundle to a quote without adding the grandchild subscription. salesforce cpq gives each subscription the same root id value as follows.	sie verfügen über ein paket mit einem übergeordneten, untergeordneten und unter-untergeordneten paketelement. alle drei produkte sind abonnements. eine konfigurationsregel im paket enthält ein untergeordnetes abonnement für jede einheit des übergeordneten abonnements. das unter-untergeordnete paketelement ist hingegen optional. sie fügen dieses paket einem angebot hinzu, ohne das unter-untergeordnete abonnement hinzuzufügen. salesforce cpq gibt jedem abonnement wie folgt denselben stamm-id-wert.
in setup, on the my domain page under authentication configuration, click edit.	klicken sie in "setup" auf der seite "meine domäne" unter "authentifizierungskonfiguration" auf bearbeiten.
update the appearance of the page using the branding editor.	aktualisieren des erscheinungsbilds der seite mit dem branding-editor.
period name	zeitraumname
code—authorization code that the consumer must use to obtain the access and refresh tokens. the authorization code expires after 15 minutes.	code – autorisierungscode, den der benutzer zum abrufen der zugriffs- und aktualisierungstoken verwenden muss. der autorisierungscode läuft nach 15 minuten ab.
contributor	beitragender
question 5, required. asks about the field you use to identify topics, reasons, and closure codes of cases. your selection helps you understand which kinds of cases your team solves for most efficiently.	frage 5 (erforderlich). fragt nach dem feld, das sie zur angabe von themen, gründen und abschlusscodes für kundenvorgänge verwenden. mithilfe der auswahl können sie sich einen besseren überblick darüber verschaffen, welche art von kundenvorgängen ihr team am effizientesten löst.
prioritizes records with the search term in the name, title, or subject type fields.	priorisiert datensätze mit dem suchbegriff im namen, titel oder thematypfeldern.
dmlopts.assignmentruleheader.assignmentruleid	dmlopts.assignmentruleheader.assignmentruleid
